,UNIVALLE,CIAT,CENICAÑA,UAO,UNAL,UIS,UCESAR,ITM,UPB,UPAMPLONA,ULIBRE,UDEA,SENA,BIOPACIFICO,CORPOICA-AGROSAVIA,BIOTEC,ALEXANDER VON HUMBOLT,CORPOGEN,CENIPALMA,INCAUCA,RIOPAILA,MAYAGUEZ,PROVIDENCIA,RISARALDA,GPC,PROGEN,BIOENERGY,ASOCAÑA,PROCAÑA,CIAMSA,TECNICAÑA,TERPEL,FEDEPETROLEO,MINMINAS,MINCIENCIAS,DNP,MADR,FEPALMA,FEDEBIOCOMBUSTIBLES,ICA,BANCO AGRARIO,FINAGRO,BANCOLDEX
BIOTEC,0.040090388200201915,0.070445781232519808,0.069968635051913253,0.00480110199490596,0.05302590202868001,0.016635418534029001,0.03552412961857291,0.038213149250093358,0.0088262457260800311,0,0,0.027846331972433341,0.0192245336982797,0.031576563765734707,0.052051391608966581,0,0,0.029663935431608373,0,0,0,0,0,0,0,0,0,0,0.060151300680472905,0.060368211203763955,0,0.020008318630377765,0.060383864540496303,0.060332432148375741,0.060212795931921408,0.060373801681168363,0,0,0.060390573113381592,0,0.059885193956023063,0,0,1
ALEXANDER VON HUMBOLT,0.0085615980758952555,0.058715259219668595,0.057926910742918218,0.014388393184866826,0.029933858898984516,0,0,0,0,0,0,0.0023311065581975814,0.022997403949467109,0.0010998178093070709,0.028323757349011224,0,0,0.0017311452653777598,0.0012179414453794965,0.034589537048777722,0.041153740915491552,0.042190826398296882,0.043569602850984032,0,0,0.015789860053522689,0.016538615713522192,0.047223427187122524,0,0.047555107679371079,0,0.023465226937527946,0.047564450791828784,0.047533751993753461,0.04746234391996957,0.047558444505248834,0,0.047564450791828784,0.047568454982882084,0.033148695634764386,0.0472668059235333,0.047500383734975948,0.047529080437524615,1
CORPOGEN,0.018432669109105532,0.072097220981145543,0.071253685997676716,0.011830169065449512,0.04130104548297741,0.004019488002623469,0,0,0.014075693089261506,0.03127952589502777,0,0,0.019876630150775818,0.0033812885354302653,0.039578232508265573,0.0091517579103804272,0.0092717362166026135,0,0.0027486372978286033,0,0.036846554204061667,0.037815872074340513,0,0.036948850298479767,0.038196363645041989,0,0,0,0,0.042829628214174069,0.024292203640932791,0.020313883578745875,0.0428383608076,0.042809668000629068,0.042742926036587997,0.042832746997540472,0.042824638160787819,0.0428383608076,0.042842103347639687,0.029364592908054769,0.042560165331316631,0,0.042805301703916103,0.99999999999999989
CENIPALMA,0.014607239038745142,0.064587432048708524,0.063801810259022165,0.0111368614233138,0.035905578913378547,0,0,0,0.013168414558552196,0,0.032013327169149668,0,0.018416593491251375,0.00058921634226480411,0.034301046275120754,0,0.0060752532465154626,0.00043396232249953308,0,0.028218837368776624,0.033769491990500188,0.034646445760544757,0.035812331532045466,0,0,0.012321934085536198,0.022556666300487024,0.038901985258553845,0.03907297431410308,0.039182452455279813,0.022411417003571538,0.018812182032307518,0.039190352939694639,0.039164394205188816,0.039104011931447004,0,0.039177937892757073,0.039190352939694639,0.039193738861586697,0.027000469807948929,0.038938666079051214,0.039136178189421604,0.039160443962981399,0.99999999999999989
INCAUCA,0.043320462951458923,0.055278130863749178,0.055090172316573184,0.024108072978888121,0.04841605102278123,0,0,0,0,0,0,0,0.01383406764596256,0.039966677179602367,0.048032169583209897,0,0.041279201271746654,0,0.039825708269220363,0,0.018457981632093917,0.021374177591454831,0.02525117942674418,0,0,0.02243556048283047,0.045222348589833046,0.035525421947658599,0.036094023862514681,0.036458079213940689,0.0081961076652044152,0.013275767046088077,0.036484351249610608,0.036398028846695164,0.036197235431217931,0,0.03644306662212931,0.036484351249610608,0.036495610693469148,0.00171950213285165,0.035647399256126075,0.036304200147874027,0.036384892828860205,1.0000000000000002
RIOPAILA,0.041020414940868714,0.050609237901248015,0.050458514428579217,0.025614049130742823,0.045106553831271462,0,0,0,0.023314877513760969,0,0,0,0.017375350836557852,0.038331022807782444,0.044798720298108892,0,0.039383532481334124,0.037726851599542213,0.038217980203280835,0.0062818477846204148,0,0.0057178961001824995,0.013319680748172878,0,0,0.024272865687503406,0.042545532113466678,0.033464778012329374,0.034579657367770363,0.035293474512838187,0.012854285315276038,0.016927651030028884,0.035344987090317311,0.035175731478600196,0.034782028207866911,0,0.035264038754278693,0.035344987090317311,0.035367063909236933,0.0076607120960270302,0.033703943550625295,0.034991757987603338,0.035149975189860634,0.99999999999999978
MAYAGUEZ,0.043792470053543135,0.053787455769972861,0.053630347961988491,0.027733522375546979,0.048051689356441593,0,0,0,0,0,0,0,0.019145849820468824,0.040989160818703282,0.04773081662996502,0,0.042086252630390786,0.040359398164664217,0.040871329962714996,0.0075824488683984654,0.0010345149729140664,0,0.0089183103623806572,0,0,0.026335529168906351,0.045382188042808774,0.03255226449308448,0.033860225790180963,0.034697666356638783,0.014433281291988337,0.018679186373871167,0.034758100211950166,0.03455953183021275,0.034097644507475704,0,0.034663132725032277,0.034758100211950166,0.034784000435655042,0.0090197190270351908,0.032832850249887351,0.034343696632672074,0.034529314902557048,0.99999999999999989
PROVIDENCIA,0.04796225170244351,0.058575602629656678,0.058408774947571816,0.03090977638492896,0.052484978439642789,0,0,0,0,0,0,0,0.021790805626899785,0.044985508612361273,0.052144254105893163,0,0.046150474799123452,0,0.044860387850797614,0.0095120054666698074,0.0025589669879120618,0.0014604491152006413,0,0,0,0.029425292773156767,0.049650321638115884,0.031157080055200681,0.032881389691132329,0.033985403121398798,0.016786682061311529,0.021295270859351068,0.034065074193686075,0.033803297813313614,0.033194383189403757,0,0.033939876794377509,0.034065074193686075,0.034099218938952049,0.011038195998963215,0.031526981462248721,0.033518758269430501,0.033763462277169976,1
RISARALDA,0,0,0.084738105205072842,0,0.075768844723097001,0,0,0,0.039248541989743986,0.0097281155752599706,0,0.062439110827807329,0,0.064413846578313963,0,0,0,0.063401326242281841,0,0,0,0,0,0,0.011496295057638245,0,0,0,0,0.054193534901706676,0.02171781198565299,0.028544296872770172,0.054274008967110147,0.054009594180784472,0.05339454239520082,0.054222275639350774,0.054147549721476132,0.054274008967110147,0.054308497852283061,0,0.051710335169256813,0,0.053969357148082736,1
GPC,0,0.078493133061280279,0.078265580401159385,0.040756995522501976,0.070185532554493515,0.052830785395527033,0,0.011943622037786419,0.037285853249471278,0.010692082407121467,0,0.058177308702181241,0,0.059956269117109481,0,0,0,0.059044130064251965,0,0,0,0,0,0.001928412373905937,0,0,0,0,0,0.04384421962247223,0.021493120113368614,0.027642827173754648,0.043926855469902847,0.043655337685487967,0.043023763708696837,0.043873732425126023,0.043796999138226156,0.043926855469902847,0.043962270833087388,0,0.041294313473184671,0,0,1.0000000000000002
